"id","topic","text","treatment date","treatment country","treatment given"
"12","gastroesophageal reflux disease","GERD treatment: PPIs (omeprazole) or H2 blockers (famotidine). Lifestyle changes include avoiding triggers and elevating the head of the bed.","2023-10-27","Italy","Omeprazole 20 mg PO daily"
"13","urinary tract infection","Uncomplicated UTI treatment: trimethoprim-sulfamethoxazole (Bactrim) or nitrofurantoin. Obtain urine culture before starting antibiotics for complicated cases.","2023-10-27","Spain","Bactrim DS PO BID for 3 days"
"14","stroke (ischemic)","Ischemic stroke acute management: IV thrombolysis (alteplase) if within 4.5 hours and no contraindications, or mechanical thrombectomy.","2023-10-27","Portugal","IV Alteplase 0.9 mg/kg (max 90mg)"
"15","anxiety disorder","Generalized Anxiety Disorder (GAD) treatment: SSRIs (e.g., escitalopram), CBT, and mindfulness. Benzodiazepines are used for acute short-term relief only.","2023-10-27","Netherlands","Escitalopram 10 mg PO daily"
"16","bacterial meningitis","Meningitis empiric treatment: vancomycin + a third-generation cephalosporin (e.g., ceftriaxone) + dexamethasone. Lumbar puncture is diagnostic.","2023-10-27","Belgium","Vancomycin + Ceftriaxone IV"
"17","chronic obstructive pulmonary disease","COPD management: LAMA (tiotropium), LABA (salmeterol), and inhaled corticosteroids (ICS) for severe disease. Smoking cessation is key.","2023-10-27","Sweden","Tiotropium 18 mcg inhalation daily"
"18","appendicitis","Acute appendicitis diagnosis: clinical signs (RLQ pain, Rovsing's sign), elevated WBC count, confirmed by CT scan or ultrasound. Treatment is appendectomy.","2023-10-27","Norway","Laparoscopic Appendectomy"
"19","rheumatoid arthritis","RA treatment: Methotrexate is the cornerstone DMARD. Biologic agents (TNF inhibitors) are used for refractory disease. Focus on joint protection.","2023-10-27","Denmark","Methotrexate 15 mg PO weekly"
"20","iron deficiency anemia","IDA management: oral ferrous sulfate, monitor reticulocyte count. Must investigate the cause of blood loss, especially GI tract in adults.","2023-10-27","Finland","Ferrous Sulfate 325 mg PO daily"
"21","hyperkalemia","Hyperkalemia emergency treatment: membrane stabilization (calcium gluconate), shifting (insulin/glucose, albuterol), and elimination (kayexalate, dialysis).","2023-10-27","Poland","Calcium Gluconate 1g IV push"
"22","sepsis","Sepsis bundle: prompt fluid resuscitation, broad-spectrum antibiotics within 1 hour, vasopressors (norepinephrine) for persistent hypotension.","2023-10-27","Russia","30 mL/kg IV crystalloid bolus"
"23","cirrhosis","Cirrhosis complications include ascites (diuretics), encephalopathy (lactulose, rifaximin), and variceal bleeding (beta-blockers, banding).","2023-10-27","Ukraine","Lactulose 30 mL PO TID"
"24","pancreatitis","Acute pancreatitis management: NPO, aggressive IV fluid hydration (lactated Ringer's), and pain control. Investigate etiology (gallstones, alcohol).","2023-10-27","Turkey","Aggressive IV Lactated Ringer's"
"25","glaucoma","Glaucoma treatment aims to reduce intraocular pressure (IOP) using prostaglandin analogs (latanoprost), beta-blockers, or laser/surgical procedures.","2023-10-27","Greece","Latanoprost 0.005% eye drops daily"
"26","herpes zoster","Herpes Zoster (Shingles) treatment: Acyclovir, valacyclovir, or famciclovir started within 72 hours of rash onset to reduce severity and risk of post-herpetic neuralgia.","2023-10-27","Switzerland","Valacyclovir 1 g PO TID x 7 days"
"27","bipolar disorder","Bipolar I treatment: mood stabilizers (lithium, valproate) and atypical antipsychotics. Avoid antidepressant monotherapy as it can trigger mania.","2023-10-27","Austria","Lithium 300 mg PO TID"
"28","tuberculosis","Active TB treatment: RIPE (Rifampin, Isoniazid, Pyrazinamide, Ethambutol) for the initial phase. Monitor liver function for hepatotoxicity.","2023-10-27","Ireland","RIPE combination therapy (4 drugs)"
"29","deep vein thrombosis","DVT diagnosis: Duplex ultrasound. Treatment: Anticoagulation (LMWH, DOACs) for at least 3 months. Risk factors: Virchow's triad.","2023-10-27","Iceland","Rivaroxaban 15 mg PO BID for 3 weeks"
"30","hypoglycemia","Hypoglycemia (glucose < 70 mg/dL) treatment: 15-20g simple carbohydrates (e.g., glucose tablets). Severe cases: Glucagon or IV dextrose.","2023-10-27","Egypt","15g Fast-acting carbohydrate (e.g., 4 oz juice)"
"31","congestive heart failure","HFrEF standard therapy: ACEi/ARB/ARNI, beta-blocker, and mineralocorticoid receptor antagonist (MRA). Diuretics are for symptom relief.","2023-10-27","South Africa","Carvedilol 6.25 mg PO BID"
"32","peptic ulcer disease","PUD causes: H. pylori infection or NSAID use. Treatment involves PPIs and antibiotics (triple therapy) if H. pylori positive.","2023-10-27","Nigeria","Triple Therapy (PPI + Clarithromycin + Amoxicillin)"
"33","hepatitis c","Hepatitis C treatment: Direct-Acting Antivirals (DAAs) achieve high cure rates (SVR). Screening is recommended for high-risk groups.","2023-10-27","Kenya","Sofosbuvir/Velpatasvir PO daily x 12 weeks"
"34","osteoporosis","Osteoporosis management: Bisphosphonates (alendronate), Vitamin D, and calcium supplementation. Monitor bone density (DEXA scan).","2023-10-27","Ethiopia","Alendronate 70 mg PO weekly"
"35","epilepsy","Epilepsy treatment: Antiepileptic drugs (AEDs) like levetiracetam or valproate. Drug choice depends on seizure type.","2023-10-27","Ghana","Levetiracetam 500 mg PO BID"
"36","multiple sclerosis","MS acute exacerbation treatment: high-dose IV corticosteroids. Disease-modifying therapies (DMTs) reduce relapse rate and progression.","2023-10-27","Morocco","Methylprednisolone 1g IV daily x 3 days"
"37","cholecystitis","Acute cholecystitis diagnosis: RUQ pain, fever, leukocytosis, positive Murphy's sign, confirmed by CT scan or ultrasound. Treatment is cholecystectomy.","2023-10-27","Algeria","Cholecystectomy (surgical removal)"
"38","systemic lupus erythematosus","SLE treatment: Hydroxychloroquine for all patients. Corticosteroids for flares. Immunosuppressants (mycophenolate) for organ involvement.","2023-10-27","Tanzania","Hydroxychloroquine 200 mg PO BID"
"39","tinea pedis (athlete's foot)","Tinea pedis treatment: topical antifungals (miconazole, clotrimazole). Keep feet dry; use antifungal powder in shoes.","2023-10-27","Uganda","Clotrimazole topical cream BID"
"40","allergic rhinitis","Allergic rhinitis treatment: Intranasal corticosteroids (fluticasone), oral antihistamines, or leukotriene inhibitors (montelukast).","2023-10-27","Senegal","Fluticasone nasal spray daily"
"41","benign prostatic hyperplasia","BPH treatment: Alpha-blockers (tamsulosin) for rapid symptom relief, 5-alpha reductase inhibitors (finasteride) to reduce prostate size.","2023-10-27","India","Tamsulosin 0.4 mg PO daily"
"42","chronic kidney disease","CKD management: Blood pressure control (<130/80), ACEi/ARB, glycemic control, and dietary protein restriction. Monitor GFR and albuminuria.","2023-10-27","China","BP control (target <130/80)"
"43","diverticulitis","Acute diverticulitis treatment: usually outpatient antibiotics (ciprofloxacin + metronidazole) and bowel rest. Surgery for complicated cases.","2023-10-27","Japan","Ciprofloxacin + Metronidazole PO"
"44","carpal tunnel syndrome","CTS diagnosis: Phalen's sign, Tinel's sign, nerve conduction studies. Treatment: wrist splinting, corticosteroid injection, or surgical release.","2023-10-27","South Korea","Wrist Splinting (neutral position)"
"45","schizophrenia","Schizophrenia treatment: Second-generation antipsychotics (e.g., risperidone, olanzapine). Psychoeducation and CBT are crucial adjuncts.","2023-10-27","Australia","Risperidone 2 mg PO daily"
"46","gout","Acute gout treatment: NSAIDs (indomethacin), colchicine, or corticosteroids. Prophylaxis: allopurinol (xanthine oxidase inhibitor).","2023-10-27","New Zealand","Colchicine 0.6 mg PO BID"
"47","viral gastroenteritis","Viral gastroenteritis treatment: supportive care with oral rehydration solution (ORS). Avoid anti-motility agents unless infectious cause is ruled out.","2023-10-27","Indonesia","Oral Rehydration Solution (ORS)"
"48","tension headache","Tension headache treatment: OTC analgesics (NSAIDs, acetaminophen). Prevention: stress reduction, biofeedback, or tricyclic antidepressants.","2023-10-27","Thailand","Acetaminophen 500 mg PO PRN"
"49","cellulitis","Cellulitis treatment: antibiotics covering skin flora (e.g., cephalexin or clindamycin, depending on MRSA risk). Elevate the affected limb.","2023-10-27","Vietnam","Cephalexin 500 mg PO QID"
"50","myocardial infarction","STEMI acute management: MONA (Morphine, Oxygen, Nitroglycerin, Aspirin), P2Y12 inhibitor, and immediate percutaneous coronary intervention (PCI).","2023-10-27","Philippines","Aspirin 325mg chewable + Clopidogrel 300mg LD"
"51","hyperthyroidism","Hyperthyroidism (Graves' disease) treatment: antithyroid drugs (methimazole, PTU), radioactive iodine ablation, or surgery.","2023-10-27","Malaysia","Methimazole 10 mg PO daily"
"52","community-acquired mrsa","CA-MRSA skin infection treatment: Incision and drainage (I&D) for abscesses. Oral options: Clindamycin, Bactrim, or Doxycycline.","2023-10-27","Singapore","I&D + Trimethoprim-sulfamethoxazole (Bactrim)"
"53","pelvic inflammatory disease","PID outpatient treatment: Ceftriaxone injection + Doxycycline + Metronidazole. Screen and treat for concurrent STIs.","2023-10-27","Saudi Arabia","Ceftriaxone 250mg IM + Doxycycline + Metronidazole"
"54","macular degeneration","Wet AMD treatment: intravitreal injection of anti-VEGF agents (ranibizumab, aflibercept). Dry AMD: high-dose vitamins (AREDS formulation).","2023-10-27","UAE","Anti-VEGF intravitreal injection"
"55","transient ischemic attack","TIA management: rapid workup to prevent stroke. Aspirin + P2Y12 inhibitor (DAPT) for high-risk patients. Carotid imaging is essential.","2023-10-27","Israel","Aspirin 81 mg + Clopidogrel 75 mg daily"
"56","otitis media","Acute otitis media (AOM) treatment: Amoxicillin is first line. Watchful waiting is an option for certain low-risk children.","2023-10-27","Iran","Amoxicillin 90 mg/kg/day PO BID"
"57","irritable bowel syndrome","IBS management: dietary changes (FODMAP restriction), fiber, antispasmodics (dicyclomine), or linaclotide for constipation-predominant IBS (IBS-C).","2023-10-27","Pakistan","Low FODMAP diet counseling"
"58","rotator cuff tear","Rotator cuff tear treatment: physical therapy for partial tears; surgical repair for complete tears, especially in active patients.","2023-10-27","Bangladesh","Physical Therapy / Surgical Repair"
"59","psoriasis","Psoriasis treatment: topical corticosteroids, vitamin D analogs. Systemic agents (methotrexate, biologics) for severe disease.","2023-10-27","Nepal","High-potency topical corticosteroids"
"60","hypovolemic shock","Hypovolemic shock treatment: rapid infusion of IV crystalloids (normal saline or lactated Ringer's). Blood products for hemorrhagic shock.","2023-10-27","Sri Lanka","IV Normal Saline 1-2 Liters wide open"
"61","syphilis","Syphilis treatment: Benzathine penicillin G, dose and duration depend on the stage (primary, secondary, latent, or tertiary).","2023-10-27","Kazakhstan","Benzathine Penicillin G 2.4 million units IM"
"62","anaphylaxis","Anaphylaxis emergency treatment: IM epinephrine (EpiPen) is first-line. Also administer H1/H2 blockers and corticosteroids.","2023-10-27","Uzbekistan","Epinephrine 0.3 mg IM (repeat q 5-15 mins)"
"63","thyroid cancer","Papillary thyroid carcinoma (most common) treatment: thyroidectomy, followed by radioactive iodine for high-risk patients. TSH suppression is key.","2023-10-27","Afghanistan","Thyroidectomy + TSH suppression (Levothyroxine)"
"64","major depressive disorder","MDD first-line treatment: SSRIs or SNRIs, and psychotherapy (CBT, IPT). Assess for suicide risk immediately.","2023-10-27","Lebanon","Sertraline 50 mg PO daily + CBT"
"65","diabetic ketoacidosis","DKA management: aggressive IV fluids (NS), continuous IV regular insulin infusion, and electrolyte monitoring/replacement (especially potassium).","2023-10-27","Jordan","Continuous IV Regular Insulin drip (0.1 U/kg/hr)"
"66","prostatitis","Acute bacterial prostatitis treatment: Fluoroquinolones (ciprofloxacin) or Bactrim for 4-6 weeks due to poor prostate penetration.","2023-10-27","Kuwait","Ciprofloxacin 500 mg PO BID for 4 weeks"
"67","candidiasis (oral thrush)","Oral candidiasis treatment: topical antifungals (nystatin swish and swallow) or systemic fluconazole for immunocompromised patients.","2023-10-27","Qatar","Nystatin suspension 5 mL swish and swallow QID"
"68","pre-eclampsia","Pre-eclampsia management: delivery is the only cure. Magnesium sulfate for seizure prophylaxis. BP control (labetalol, hydralazine).","2023-10-27","Bahrain","Labetalol IV or Hydralazine IV for BP control"
"69","parkinson's disease","Parkinson's treatment: Levodopa/carbidopa (Sinemet) is the most effective. Dopamine agonists, MAO-B inhibitors are other options.","2023-10-27","Czech Republic","Carbidopa/Levodopa 25/100 mg PO TID"
"70","ulcerative colitis","UC treatment: 5-aminosalicylates (5-ASA) for mild-to-moderate disease. Corticosteroids for flares. Immunomodulators/biologics for severe disease.","2023-10-27","Hungary","Mesalamine (5-ASA) 1.2 g PO TID"
"71","concussion","Concussion management: physical and cognitive rest followed by a gradual, step-wise return to activity/play. Avoid symptom-provoking activities.","2023-10-27","Romania","Physical and Cognitive Rest (24-48 hours)"
"72","gallstones (cholelithiasis)","Asymptomatic gallstones require no treatment. Symptomatic cholelithiasis (biliary colic) is treated with elective cholecystectomy.","2023-10-27","Bulgaria","Elective Cholecystectomy (for symptomatic stones)"
"73","obstructive sleep apnea","OSA first-line treatment: continuous positive airway pressure (CPAP). Lifestyle changes (weight loss, avoiding alcohol) are also important.","2023-10-27","Croatia","Continuous Positive Airway Pressure (CPAP)"
"74","acute otitis externa","Otitis externa (Swimmer's Ear) treatment: topical antibiotic/steroid drops (e.g., Cipro/Dexamethasone). Keep the ear canal dry.","2023-10-27","Serbia","Ciprofloxacin/Dexamethasone otic drops"
"75","endocarditis","Infective endocarditis empiric treatment: vancomycin + gentamicin. Vegetations on valve are seen on echocardiogram (TEE is superior).","2023-10-27","Slovenia","IV Vancomycin + Gentamicin"
"76","fibromyalgia","Fibromyalgia management: patient education, aerobic exercise, and medications (pregabalin, duloxetine, amitriptyline) to manage pain and sleep.","2023-10-27","Slovakia","Pregabalin 75 mg PO BID"
"77","varicella (chickenpox)","Varicella management: supportive care. Acyclovir may be used in adolescents/adults if started within 24 hours of rash onset.","2023-10-27","Lithuania","Supportive Care (antipyretics, oatmeal baths)"
"78","hyponatremia","Hyponatremia treatment depends on volume status (hypovolemic, euvolemic, hypervolemic). Correct slowly to prevent osmotic demyelination syndrome.","2023-10-27","Latvia","Slow correction with 3% Saline (for severe cases)"
"79","breast cancer screening","Breast cancer screening: mammography starting at age 40 or 50, depending on guidelines. Clinical breast exam is no longer routinely recommended.","2023-10-27","Estonia","Screening Mammography (annually or biennially)"
"80","polycystic ovary syndrome","PCOS treatment: lifestyle changes (weight loss), oral contraceptives (OCPs) for menstrual regulation, and metformin for insulin resistance.","2023-10-27","Cuba","Oral Contraceptives (OCPs) for regulation"
"81","shingles vaccine","The recombinant zoster vaccine (Shingrix) is recommended for all immunocompetent adults aged 50 and older (two doses).","2023-10-27","Jamaica","Shingrix vaccine (2 doses)"
"82","hypercalcemia","Severe hypercalcemia treatment: aggressive IV fluid hydration (NS) and bisphosphonates (pamidronate). Look for underlying malignancy or hyperparathyroidism.","2023-10-27","Haiti","IV Normal Saline + Pamidronate 90mg IV"
"83","atypical pneumonia","Atypical pneumonia (Mycoplasma, Chlamydia) is treated with macrolides (azithromycin) or doxycycline, as they lack a cell wall.","2023-10-27","Venezuela","Azithromycin 500 mg PO daily x 5 days"
"84","peripheral neuropathy","PN management: control underlying cause (e.g., diabetes), medications for pain (gabapentin, pregabalin), and physical therapy.","2023-10-27","Ecuador","Gabapentin 300 mg PO TID"
"85","c diff infection","C. difficile infection treatment: Oral vancomycin or fidaxomicin. Use contact isolation and hand hygiene with soap and water (not alcohol).","2023-10-27","Bolivia","Oral Vancomycin 125mg QID x 10 days"
"86","hernia (inguinal)","Inguinal hernia treatment: surgical repair (herniorrhaphy or hernioplasty). Watchful waiting may be appropriate for asymptomatic men.","2023-10-27","Paraguay","Surgical Hernia Repair (mesh insertion)"
"87","venous insufficiency","Chronic venous insufficiency treatment: compression stockings, leg elevation, and exercise. Ablation or stripping may be needed for severe symptoms.","2023-10-27","Uruguay","Graduated Compression Stockings"
"88","polymyalgia rheumatica","PMR treatment: low-dose oral corticosteroids (prednisone). Monitor for progression to giant cell arteritis (GCA).","2023-10-27","Guyana","Prednisone 15 mg PO daily"
"89","acute bronchitis","Acute bronchitis is usually viral; antibiotics are not indicated unless bacterial pneumonia is suspected. Symptomatic treatment includes cough suppressants.","2023-10-27","Sudan","Symptomatic Treatment (Dextromethorphan for cough)"
"90","seizure management","Acute seizure management: IV benzodiazepines (lorazepam, diazepam). Followed by a loading dose of an AED (e.g., phenytoin or levetiracetam).","2023-10-27","DRC","Lorazepam 4mg IV (or Diazepam)"
"91","hiv pre-exposure prophylaxis","PrEP regimen: Tenofovir/emtricitabine (Truvada or Descovy). Requires baseline HIV testing and regular follow-up for monitoring and testing.","2023-10-27","Angola","Tenofovir/Emtricitabine PO daily"
"92","psoriatic arthritis","PsA treatment: NSAIDs for mild symptoms. DMARDs (methotrexate) or biologics (TNF inhibitors) for active, progressive joint disease.","2023-10-27","Zambia","Methotrexate 7.5 mg PO weekly"
"93","kidney stones (nephrolithiasis)","Kidney stone management: hydration, pain control (NSAIDs), and alpha-blockers (tamsulosin) to facilitate passage. Lithotripsy for larger stones.","2023-10-27","Zimbabwe","Tamsulosin 0.4 mg PO daily"
"94","iron poisoning","Iron poisoning management: whole-bowel irrigation, chelation with deferoxamine, and supportive care for acidosis/shock.","2023-10-27","Mozambique","Deferoxamine chelation therapy"
"95","sickle cell crisis","Vaso-occlusive crisis (VOC) treatment: aggressive pain management (opioids), IV hydration, and oxygen. Hydroxyurea for prophylaxis.","2023-10-27","Madagascar","Aggressive IV Hydration + Opioids (Morphine)"
"96","rheumatic fever","Rheumatic fever prevention: prompt treatment of Group A Strep pharyngitis with penicillin. Treatment: NSAIDs for arthritis, corticosteroids for carditis.","2023-10-27","Cameroon","Penicillin V PO for Strep Pharyngitis"
"97","malaria","Malaria treatment depends on species and resistance patterns (e.g., Artemether-lumefantrine, chloroquine). Prophylaxis for travelers is crucial.","2023-10-27","Côte d'Ivoire","Artemether-lumefantrine PO"
"98","polio immunization","Poliomyelitis vaccine schedule: series of four doses of the inactivated polio vaccine (IPV) starting at 2 months of age.","2023-10-27","Tunisia","Inactivated Polio Vaccine (IPV) series"
"99","drug-induced liver injury","DILI management: immediate cessation of the offending agent. Acetaminophen overdose antidote is N-acetylcysteine (NAC).","2023-10-27","Libya","N-acetylcysteine (NAC) IV/PO (for Acetaminophen OD)"
"100","delirium","Delirium management: identify and treat the underlying cause (infection, drugs, metabolic). Use non-pharmacological interventions first; haloperidol if necessary.","2023-10-27","Fiji","Identify/Treat Underlying Cause + Haloperidol 0.5 mg PO/IV"
"101","dengue fever","Dengue is a mosquito-borne viral illness. Management is supportive: hydration, monitoring for warning signs (abdominal pain, bleeding, low platelets), and avoidance of NSAIDs.","2023-10-27","USA","IV/Oral Hydration and Acetaminophen"
"102","typhoid fever","Caused by Salmonella Typhi, spread via contaminated food/water. Treatment requires antibiotics (e.g., fluoroquinolones, azithromycin) and supportive care. Vaccination is key for prevention.","2023-10-27","Canada","Azithromycin 500mg PO daily x 7 days"
"103","malaria (p. falciparum)","Endemic in many regions. Treatment depends on resistance; often Artemisinin-based Combination Therapy (ACT) is used. Severe malaria needs IV artesunate.","2023-10-27","Mexico","IV Artesunate or ACT"
"104","hepatitis a and e","Both are enteric (fecal-oral) spread, common in areas with poor sanitation. Management is primarily supportive; Hepatitis E is especially risky in pregnant women.","2023-10-27","Brazil","Supportive Care (rest and nutrition)"
"105","tuberculosis (mdr-tb)","Multi-Drug Resistant TB requires specialized treatment regimens using second-line drugs (e.g., bedaquiline, linezolid) for longer durations, guided by drug sensitivity testing.","2023-10-27","Argentina","Second-line drugs (e.g., Bedaquiline + Linezolid)"
"106","acute diarrheal disease (children)","Leading cause of death in children under 5. Management: low osmolarity Oral Rehydration Solution (ORS) and Zinc supplementation. ","2023-10-27","Chile","Low Osmolarity ORS + Zinc 10-20mg daily"
"107","chikungunya","Mosquito-borne viral disease causing severe, often long-lasting, joint pain (arthralgia). Treatment is symptomatic (NSAIDs) as there is no specific antiviral.","2023-10-27","Colombia","NSAIDs (Naproxen or Ibuprofen)"
"108","kala-azar (visceral leishmaniasis)","Vector-borne disease (sandfly). Endemic in parts of Bihar, Jharkhand, UP. Treatment: Liposomal Amphotericin B or Miltefosine.","2023-10-27","Peru","Liposomal Amphotericin B IV"
"109","japanese encephalitis (je)","Mosquito-borne viral encephalitis, common in endemic regions. Prevention via immunization is critical. Treatment is purely supportive.","2023-10-27","UK","Supportive Care and Immunization"
"110","leptospirosis","Bacterial infection transmitted through water contaminated by animal urine. Presents as fever, headache, myalgia. Treatment: Penicillin or Doxycycline.","2023-10-27","France","Doxycycline 100mg PO BID x 7 days"
"111","filariasis (lymphatic)","Caused by parasitic worms transmitted by mosquitoes, leading to lymphedema and elephantiasis. Treatment: Diethylcarbamazine (DEC) and mass drug administration programs.","2023-10-27","Germany","Diethylcarbamazine (DEC) 6 mg/kg daily"
"112","rabies","100% fatal but 100% preventable. Post-exposure prophylaxis (PEP) includes wound washing, Rabies Immunoglobulin (RIG), and rabies vaccine series.","2023-10-27","Italy","RIG + 5-dose vaccine series"
"113","measles","Highly contagious viral illness. Prevented by the MMR vaccine (two doses). Treatment is supportive, with Vitamin A supplementation recommended.","2023-10-27","Spain","Vitamin A 100,000 to 200,000 IU daily"
"114","acute respiratory infection (ari) in children","Often viral. Antibiotics are only used if bacterial cause or complication (pneumonia) is suspected. Look for fast breathing or chest indrawing.","2023-10-27","Portugal","Amoxicillin (if bacterial pneumonia suspected)"
"115","hepatitis b","Chronic infection requires monitoring and antiviral therapy (e.g., tenofovir) to prevent cirrhosis/HCC. Vaccination is routine for infants.","2023-10-27","Netherlands","Tenofovir 300 mg PO daily"
"116","hand, foot, and mouth disease (hfmd)","Common viral infection in children (Coxsackievirus). Causes rash on hands, feet, and mouth ulcers. Supportive care for fever and pain.","2023-10-27","Belgium","Supportive Care (pain relief/hydration)"
"117","diphtheria","Preventable by DPT vaccine. Causes thick gray membrane in the throat. Treatment: Diphtheria antitoxin + antibiotics (erythromycin/penicillin).","2023-10-27","Sweden","Diphtheria Antitoxin (DAT)"
"118","pertussis (whooping cough)","Highly contagious bacterial infection. Preventable by DPT vaccine. Treatment: macrolides (azithromycin) to reduce contagiousness.","2023-10-27","Norway","Azithromycin PO (dose dependent on age)"
"119","brucellosis","Bacterial zoonosis (from unpasteurized dairy). Causes undulating fever. Treatment: Doxycycline + Rifampicin for several weeks.","2023-10-27","Denmark","Doxycycline + Rifampicin (for 6 weeks)"
"120","tetanus","Caused by Clostridium tetani toxin. Preventable by DPT/TT vaccine. Treatment: Tetanus immune globulin (TIG), muscle relaxants, and wound debridement.","2023-10-27","Finland","Tetanus Immune Globulin (TIG) IM"
"121","rheumatic heart disease (rhd)","Consequence of untreated Group A Strep throat. Prevention: secondary prophylaxis with long-acting Benzathine Penicillin G.","2023-10-27","Poland","Benzathine Penicillin G 1.2 million units IM q 3-4 weeks"
"122","oral cancer","Highly prevalent, strongly linked to tobacco (chewing and smoking) and alcohol. Early detection via visual inspection is vital. Treatment: surgery, radiation, chemotherapy.","2023-10-27","Russia","Surgical resection (mandibulectomy/glossectomy)"
"123","cervical cancer","Preventable via HPV vaccination (for young girls/women) and screening (Pap smear, HPV testing) for early detection. Treatment: surgery, radiation, brachytherapy.","2023-10-27","Ukraine","HPV Vaccination (series of doses)"
"124","breast cancer (screening)","Incidence rising in urban India. Screening includes clinical breast exam and mammography (starting around age 40-50 for high-risk).","2023-10-27","Turkey","Annual Screening Mammography"
"125","ischemic heart disease (ihd) in young adults","Increasingly seen in younger Indian populations due to lifestyle changes, stress, and genetic predisposition. Aggressive risk factor control is crucial.","2023-10-27","Greece","Aggressive Statin and BP management"
"126","metabolic syndrome","Defined by central obesity, hypertension, dyslipidemia, and insulin resistance. Manage with diet, exercise, and targeted pharmacotherapy.","2023-10-27","Switzerland","Weight management/Dietary intervention"
"127","chronic obstructive pulmonary disease (crd/copd)","High burden due to smoking, biomass fuel exposure (indoor air pollution), and outdoor air pollution. Management: LABA/LAMA and inhaled steroids.","2023-10-27","Austria","Salmeterol/Fluticasone Inhaler"
"128","asthma (environmental triggers)","Often exacerbated by environmental factors like dust, pollen, and high levels of air pollution in cities. Stepwise therapy with ICS.","2023-10-27","Ireland","Inhaled Corticosteroid (ICS) daily"
"129","type 1 diabetes mellitus (t1dm)","Autoimmune destruction of insulin-producing cells. Requires lifelong exogenous insulin therapy and careful blood glucose monitoring.","2023-10-27","Iceland","Basal-bolus insulin regimen"
"130","non-alcoholic fatty liver disease (nafld)","Highly correlated with obesity and DM2 (Metabolic Syndrome). Treatment focuses on weight loss, exercise, and management of associated conditions.","2023-10-27","Egypt","Weight Loss (5-10% body weight)"
"131","chronic pancreatitis","Often alcohol-related or idiopathic. Management: enzyme supplementation (for malabsorption), pain control, and diabetes management.","2023-10-27","South Africa","Pancreatic Enzyme Replacement Therapy (PERT)"
"132","peripheral artery disease (pad)","Common complication of diabetes/smoking, causing claudication (leg pain). Management: exercise, antiplatelets (aspirin), and risk factor control.","2023-10-27","Nigeria","Aspirin 81 mg PO daily + Exercise program"
"133","sickle cell disease/thalassemia","High prevalence of genetic hemoglobinopathies in certain regions/communities. Requires specialized hematological care, blood transfusions, and chelation therapy.","2023-10-27","Kenya","Hydroxyurea 15-30 mg/kg/day"
"134","kidney failure (esrd)","End-stage renal disease is often secondary to uncontrolled diabetes and hypertension. Treatment: dialysis or kidney transplantation.","2023-10-27","Ethiopia","Hemodialysis or Peritoneal Dialysis"
"135","glaucoma (primary open-angle)","Most common form. Slow, asymptomatic vision loss. Screening is key, especially for diabetics and those with family history.","2023-10-27","Ghana","Topical Prostaglandin Analogues (Latanoprost)"
"136","cataract","Leading cause of reversible blindness. Treatment is surgical removal and intraocular lens implantation, which is a high-volume procedure in India.","2023-10-27","Morocco","Phacoemulsification and IOL insertion"
